task_idx,dataset_id,objective,edit_budget,seed,method,beta,n_proposals,n_selected,n_labeled,labeled_fraction,functional_hit_rate_labeled,joint_success_rate_labeled,first_functional_rank,mean_edit_distance,mean_prior_function_prob,mean_plm_score
27,GFP_AEQVI_Sarkisyan_2016,novelty,2,2,editguard_diffusion_dplm,1.0,185,50,2,0.04,1.0,1.0,,1.8,0.31105823850564707,
27,GFP_AEQVI_Sarkisyan_2016,novelty,2,3,editguard_diffusion_dplm,1.0,191,50,6,0.12,0.8333333333333334,0.8333333333333334,,1.52,0.36967532979451856,
27,GFP_AEQVI_Sarkisyan_2016,novelty,2,4,editguard_diffusion_dplm,1.0,190,50,4,0.08,0.75,0.75,,1.68,0.3235378351445894,
28,GFP_AEQVI_Sarkisyan_2016,fragility_aware,2,0,editguard_diffusion_dplm,1.0,188,50,6,0.12,0.8333333333333334,0.8333333333333334,,1.66,0.3321833379108308,
28,GFP_AEQVI_Sarkisyan_2016,fragility_aware,2,1,editguard_diffusion_dplm,1.0,191,50,2,0.04,0.5,0.5,,1.74,0.30713645815005186,
28,GFP_AEQVI_Sarkisyan_2016,fragility_aware,2,2,editguard_diffusion_dplm,1.0,186,50,7,0.14,0.42857142857142855,0.42857142857142855,,1.5,0.349561346471936,
28,GFP_AEQVI_Sarkisyan_2016,fragility_aware,2,3,editguard_diffusion_dplm,1.0,195,50,4,0.08,0.75,0.75,,1.74,0.30559170138516684,
28,GFP_AEQVI_Sarkisyan_2016,fragility_aware,2,4,editguard_diffusion_dplm,1.0,195,50,2,0.04,0.0,0.0,,1.7,0.3280283187813883,
29,GFP_AEQVI_Sarkisyan_2016,motif_avoidance,2,0,editguard_diffusion_dplm,1.0,191,50,0,0.0,,,,1.68,0.32088399336954765,
29,GFP_AEQVI_Sarkisyan_2016,motif_avoidance,2,1,editguard_diffusion_dplm,1.0,188,50,5,0.1,0.8,0.8,,1.68,0.32593796062174585,
29,GFP_AEQVI_Sarkisyan_2016,motif_avoidance,2,2,editguard_diffusion_dplm,1.0,191,50,5,0.1,0.6,0.6,,1.46,0.3695300590558526,
29,GFP_AEQVI_Sarkisyan_2016,motif_avoidance,2,3,editguard_diffusion_dplm,1.0,193,50,4,0.08,0.75,0.75,,1.54,0.3569961728921913,
29,GFP_AEQVI_Sarkisyan_2016,motif_avoidance,2,4,editguard_diffusion_dplm,1.0,177,50,5,0.1,0.6,0.6,,1.66,0.3233814666104391,
30,GFP_AEQVI_Sarkisyan_2016,novelty,3,0,editguard_diffusion_dplm,1.0,200,50,0,0.0,,,,2.78,0.26287927282305623,
30,GFP_AEQVI_Sarkisyan_2016,novelty,3,1,editguard_diffusion_dplm,1.0,199,50,0,0.0,,,,2.62,0.27274265640756695,
30,GFP_AEQVI_Sarkisyan_2016,novelty,3,2,editguard_diffusion_dplm,1.0,198,50,0,0.0,,,,2.5,0.27933078937344713,
30,GFP_AEQVI_Sarkisyan_2016,novelty,3,3,editguard_diffusion_dplm,1.0,198,50,0,0.0,,,,2.8,0.2651550751460368,
30,GFP_AEQVI_Sarkisyan_2016,novelty,3,4,editguard_diffusion_dplm,1.0,200,50,2,0.04,0.5,0.5,,2.78,0.27896833036688035,
31,GFP_AEQVI_Sarkisyan_2016,fragility_aware,3,0,editguard_diffusion_dplm,1.0,200,50,0,0.0,,,,2.78,0.27823448523800715,
31,GFP_AEQVI_Sarkisyan_2016,fragility_aware,3,1,editguard_diffusion_dplm,1.0,198,50,1,0.02,0.0,0.0,,2.66,0.2766753961124741,
31,GFP_AEQVI_Sarkisyan_2016,fragility_aware,3,2,editguard_diffusion_dplm,1.0,198,50,2,0.04,0.5,0.5,,2.34,0.28570378693337345,
31,GFP_AEQVI_Sarkisyan_2016,fragility_aware,3,3,editguard_diffusion_dplm,1.0,199,50,0,0.0,,,,2.74,0.2699145159928498,
31,GFP_AEQVI_Sarkisyan_2016,fragility_aware,3,4,editguard_diffusion_dplm,1.0,200,50,0,0.0,,,,2.58,0.2767967632585918,
32,GFP_AEQVI_Sarkisyan_2016,motif_avoidance,3,0,editguard_diffusion_dplm,1.0,200,50,1,0.02,1.0,1.0,,2.68,0.27138864996059764,
32,GFP_AEQVI_Sarkisyan_2016,motif_avoidance,3,1,editguard_diffusion_dplm,1.0,200,50,2,0.04,1.0,1.0,,2.56,0.28850227348221513,
32,GFP_AEQVI_Sarkisyan_2016,motif_avoidance,3,2,editguard_diffusion_dplm,1.0,200,50,0,0.0,,,,2.46,0.28273619017450635,
32,GFP_AEQVI_Sarkisyan_2016,motif_avoidance,3,3,editguard_diffusion_dplm,1.0,200,50,1,0.02,1.0,1.0,,2.64,0.2768261534879178,
32,GFP_AEQVI_Sarkisyan_2016,motif_avoidance,3,4,editguard_diffusion_dplm,1.0,200,50,1,0.02,0.0,0.0,,2.62,0.276964574563711,
33,GFP_AEQVI_Sarkisyan_2016,novelty,5,0,editguard_diffusion_dplm,1.0,200,50,0,0.0,,,,4.72,0.2613924438191668,
33,GFP_AEQVI_Sarkisyan_2016,novelty,5,1,editguard_diffusion_dplm,1.0,200,50,0,0.0,,,,4.48,0.2610760864878527,
